objectid,address,name,state_id,bldg_sqft,status,type,x,y,longitude,latitude
,"135 S Bridge St, Sheridan, OR 97378",Sheridan Select Market,,,Existing,Independent or Ethnic Grocery,,,-123.3952326,45.0990525
,"1111 Columbia Blvd, St Helens, OR 97051",St. Helens Market Fresh,,,Existing,Independent or Ethnic Grocery,,,-122.8094861,45.8617563
,"1050 SE Walnut St, Hillsboro, OR 97123",Su Casa Super Mercado,,,Existing,Independent or Ethnic Grocery,,,-122.9798139,45.5175024
,"1905 Mountain View Ln # 100, Forest Grove, OR 97116",Super Mercado La Montana,,,Existing,Independent or Ethnic Grocery,,,-123.075638,45.519547
,"10775 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005",Target,,,Existing,Large Chain Grocery,,,-122.7877101,45.4882666
,"11753 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005",Trader Joe's,,,Existing,Large Chain Grocery,,,-122.7982405,45.4880481
,"2285 NW 185th Ave, Hillsboro, OR 97124",Trader Joe's,,,Existing,Large Chain Grocery,,,-122.8696084,45.5365999
,"10500 SW Beaverton Hillsdale Hwy, Beaverton, OR 97005",Uwajimaya Beaverton,,,Existing,Independent or Ethnic Grocery,,,-122.7848118,45.48551295
,"7650 NE Shaleen St, Hillsboro, OR 97006",Walmart Neighborhood Market,,,Existing,Large Chain Grocery,,,-122.8984032,45.5157248
,"7600 SW Dartmouth St, Tigard, OR 97223",Walmart Supercenter,,,Existing,Large Chain Grocery,,,-122.755169,45.43168585
,"19440 NW Cornell Rd, Hillsboro, OR 97124",Whole Foods Market,,,Existing,Large Chain Grocery,,,-122.877316,45.53382285
,"11 S State St, Lake Oswego, OR 97034",Whole Foods Market,,,Existing,Large Chain Grocery,,,-122.662035,45.415756
,"3025 SW Cedar Hills Blvd, Beaverton, OR 97005",WinCo Foods,,,Existing,Large Chain Grocery,,,-122.8101319,45.4980981
,"1500 SW Oak St, Hillsboro, OR 97123",WinCo Foods,,,Existing,Large Chain Grocery,,,-123.0063207,45.51840745
,"7330 NE Butler St, Hillsboro, OR 97124",WinCo Foods,,,Existing,Large Chain Grocery,,,-122.9030182,45.5354188
,"2585 OR-99W, McMinnville, OR 97128",WinCo Foods,,,Existing,Large Chain Grocery,,,-123.172169,45.230943
,"19701 OR-213, Oregon City, OR 97045",WinCo Foods,,,Existing,Large Chain Grocery,,,-122.5808767,45.32105315
,"16380 Boones Ferry Rd, Lake Oswego, OR 97035",Zupan's Markets - Lake Grove,,,Existing,Independent or Ethnic Grocery,,,-122.7242934,45.407113
